,City,Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
1,artyshta,54.12,-5.13,67,56,3.62
2,nanakuli,21.39,80.6,60,75,11.41
3,cherskiy,68.75,-4.59,68,36,2.17
4,jiuquan,39.73,28.31,55,0,2.95
5,bambanglipuro,-7.95,84.16,75,12,4.29
6,ushuaia,-54.81,45.14,100,88,13.69
8,guerrero negro,27.97,55.99,89,88,8.99
9,luang prabang,19.89,71.6,83,75,2.24
10,puerto madero,-34.61,71.78,90,0,9.66
11,lavrentiya,65.58,14.86,100,0,10
12,kiama,-34.67,80.33,56,0,3.62
13,atuona,-9.8,81.05,100,92,14.14
14,severo-kurilsk,50.68,26.47,100,64,14.7
15,rikitea,-23.12,79.84,100,64,14.03
16,jamestown,-33.21,75.43,44,0,16.37
17,bismarck,46.81,26.6,92,1,5.82
18,punta arenas,-53.16,52.7,79,76,16.26
19,los llanos de aridane,28.66,66.2,68,88,13.87
20,nesna,66.2,0.46,100,0,4.29
21,ushuaia,-54.81,45.14,100,88,13.69
22,champerico,16.38,69.08,77,0,1.28
23,mataura,-46.19,71.74,67,0,5.64
24,pontal do parana,-25.67,74.44,100,80,4.52
25,tual,-5.67,83.84,100,80,4.63
26,ushuaia,-54.81,45.14,100,88,13.69
27,ushuaia,-54.81,45.14,100,88,13.69
28,tayga,64.77,7.03,80,36,5.97
29,thompson,55.74,17.6,78,40,3.36
30,mataura,-46.19,71.74,67,0,5.64
32,faya,18.39,37.49,79,0,2.73
33,marsh harbour,26.54,72.64,100,92,12.91
34,eydhafushi,5.1,82.04,100,92,14.36
36,iqaluit,63.75,14.81,87,68,6.64
37,pevek,69.7,0.73,95,68,14.36
38,charters towers,-20.07,76.42,100,92,6.31
39,esperance,10.24,74.21,88,32,4.63
40,ushuaia,-54.81,45.14,100,88,13.69
41,bluff,-23.58,79.66,97,68,10.33
42,rikitea,-23.12,79.84,100,64,14.03
43,butaritari,3.07,83.66,97,92,17.05
44,puerto ayora,-0.74,79.21,100,80,4.97
45,beipiao,41.8,28.94,78,92,13.02
46,puerto ayora,-0.74,79.21,100,80,4.97
47,khatanga,71.98,-18.27,80,36,19.17
48,puerto ayora,-0.74,79.21,100,80,4.97
49,yulara,-25.24,94.69,21,0,15.26
51,arlit,18.74,60.58,32,0,4.97
52,kodiak,39.95,59,77,75,12.75
53,mago,53.27,12.61,60,0,3.29
54,hervey bay,-25.3,80.69,90,20,12.24
55,bathsheba,13.22,76.51,100,88,13.13
56,ushuaia,-54.81,45.14,100,88,13.69
57,rikitea,-23.12,79.84,100,64,14.03
59,caloundra,-26.8,79.66,79,24,6.64
60,buchin,45.37,16.48,78,80,2.95
61,new norfolk,-42.78,69.26,64,68,8.21
62,vaini,15.34,67.64,51,0,3.62
63,norman wells,65.28,-5.04,66,56,2.51
64,norman wells,65.28,-5.04,66,56,2.51
65,omboue,-1.57,78.98,100,92,0.72
67,vaini,15.34,67.64,51,0,3.62
68,tak,16.87,71.6,83,20,2.62
69,port alfred,-33.59,64.36,95,12,4.63
70,wasilla,61.58,24.8,57,90,6.93
71,nantucket,41.28,41,86,1,16.11
72,osorno,-40.57,55.54,83,0,4.41
73,hobart,-42.88,73.13,55,100,7.09
74,albany,42.65,39.2,60,40,4.85
75,jamestown,-33.21,75.43,44,0,16.37
76,baykit,61.68,-16.56,70,48,3.74
77,san juan,18.47,71.96,100,92,9.66
78,busselton,-33.64,68.99,100,0,8.43
79,narsaq,60.91,-18.72,26,0,2.39
81,caravelas,-17.73,81.41,100,76,14.36
82,rikitea,-23.12,79.84,100,64,14.03
84,poum,41.28,22.64,79,0,3.29
85,rikitea,-23.12,79.84,100,64,14.03
86,jamestown,-33.21,75.43,44,0,16.37
87,victoria,5.28,81.68,100,36,4.07
89,atuona,-9.8,81.05,100,92,14.14
90,georgetown,6.8,73.63,85,32,4.63
92,rundu,-17.91,64.99,92,24,8.21
93,rikitea,-23.12,79.84,100,64,14.03
